Date,Commodity,Region,Price,Unit,Category,Source,Year,Month,Day,DayOfYear,WeekOfYear,Season
2025-03-06,Apple,Bangalore,220.61,per kg,Fruit,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Apple,Bangalore,195.38,per kg,Fruit,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Apple,Bangalore,183.93,per kg,Fruit,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Apple,Bangalore,169.19,per kg,Fruit,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Apple,Bangalore,195.5,per kg,Fruit,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Apple,Bangalore,179.12,per kg,Fruit,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Apple,Bangalore,214.34,per kg,Fruit,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Apple,Bangalore,179.64,per kg,Fruit,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Apple,Bangalore,156.06,per kg,Fruit,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Apple,Bangalore,112.03,per kg,Fruit,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Apple,Bangalore,141.52,per kg,Fruit,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Apple,Bangalore,177.94,per kg,Fruit,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Apple,Bangalore,199.63,per kg,Fruit,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Apple,Bangalore,169.43,per kg,Fruit,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Apple,Bangalore,141.33,per kg,Fruit,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Apple,Bangalore,117.92,per kg,Fruit,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Apple,Bangalore,137.48,per kg,Fruit,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Apple,Bangalore,120.76,per kg,Fruit,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Apple,Bangalore,149.64,per kg,Fruit,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Apple,Bangalore,130.94,per kg,Fruit,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Apple,Bangalore,123.64,per kg,Fruit,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Apple,Bangalore,93.59,per kg,Fruit,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Apple,Bangalore,111.35,per kg,Fruit,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Apple,Bangalore,123.93,per kg,Fruit,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Apple,Belgaum,118.45,per kg,Fruit,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Apple,Belgaum,76.55,per kg,Fruit,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Apple,Belgaum,95.98,per kg,Fruit,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Apple,Belgaum,80.81,per kg,Fruit,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Apple,Belgaum,89.66,per kg,Fruit,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Apple,Belgaum,73.3,per kg,Fruit,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Apple,Belgaum,72.43,per kg,Fruit,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Apple,Belgaum,90.97,per kg,Fruit,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Apple,Belgaum,64.2,per kg,Fruit,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Apple,Belgaum,83.19,per kg,Fruit,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Apple,Belgaum,67.9,per kg,Fruit,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Apple,Belgaum,96.89,per kg,Fruit,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Apple,Belgaum,72.52,per kg,Fruit,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Apple,Belgaum,103.51,per kg,Fruit,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Apple,Belgaum,77.28,per kg,Fruit,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Apple,Belgaum,83.98,per kg,Fruit,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Apple,Belgaum,106.25,per kg,Fruit,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Apple,Belgaum,111.58,per kg,Fruit,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Apple,Belgaum,96.63,per kg,Fruit,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Apple,Belgaum,84.44,per kg,Fruit,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Apple,Belgaum,108.17,per kg,Fruit,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Apple,Belgaum,80.84,per kg,Fruit,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Apple,Belgaum,146.99,per kg,Fruit,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Apple,Belgaum,129.78,per kg,Fruit,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Apple,Belgaum,135.1,per kg,Fruit,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Apple,Belgaum,108.22,per kg,Fruit,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Apple,Belgaum,104.27,per kg,Fruit,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Apple,Belgaum,114.08,per kg,Fruit,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Apple,Belgaum,122.75,per kg,Fruit,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Apple,Belgaum,177.15,per kg,Fruit,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Apple,Belgaum,159.27,per kg,Fruit,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Apple,Belgaum,141.2,per kg,Fruit,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Apple,Belgaum,130.24,per kg,Fruit,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Apple,Belgaum,114.81,per kg,Fruit,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Apple,Belgaum,144.08,per kg,Fruit,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Apple,Belgaum,139.41,per kg,Fruit,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Apple,Belgaum,104.18,per kg,Fruit,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Apple,Belgaum,131.11,per kg,Fruit,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Apple,Belgaum,134.58,per kg,Fruit,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Apple,Belgaum,131.07,per kg,Fruit,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Apple,Belgaum,153.31,per kg,Fruit,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Apple,Belgaum,129.37,per kg,Fruit,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Apple,Belgaum,132.52,per kg,Fruit,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Apple,Belgaum,112.3,per kg,Fruit,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Apple,Belgaum,98.95,per kg,Fruit,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Apple,Belgaum,92.15,per kg,Fruit,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Apple,Belgaum,92.21,per kg,Fruit,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Apple,Belgaum,124.86,per kg,Fruit,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Apple,Belgaum,87.38,per kg,Fruit,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Apple,Belgaum,79.69,per kg,Fruit,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Apple,Belgaum,78.41,per kg,Fruit,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Apple,Belgaum,69.87,per kg,Fruit,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Apple,Belgaum,89.85,per kg,Fruit,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Apple,Davangere,94.56,per kg,Fruit,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Apple,Davangere,77.13,per kg,Fruit,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Apple,Davangere,55.24,per kg,Fruit,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Apple,Davangere,99.32,per kg,Fruit,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Apple,Davangere,95.37,per kg,Fruit,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Apple,Davangere,94.55,per kg,Fruit,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Apple,Davangere,81.23,per kg,Fruit,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Apple,Davangere,80.0,per kg,Fruit,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Apple,Davangere,92.78,per kg,Fruit,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Apple,Davangere,81.01,per kg,Fruit,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Apple,Davangere,79.5,per kg,Fruit,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Apple,Davangere,79.95,per kg,Fruit,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Apple,Davangere,108.58,per kg,Fruit,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Apple,Davangere,106.37,per kg,Fruit,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Apple,Davangere,117.68,per kg,Fruit,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Apple,Davangere,100.86,per kg,Fruit,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Apple,Davangere,105.45,per kg,Fruit,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Apple,Davangere,87.93,per kg,Fruit,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Apple,Davangere,125.04,per kg,Fruit,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Apple,Davangere,125.38,per kg,Fruit,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Apple,Davangere,103.98,per kg,Fruit,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Apple,Davangere,106.43,per kg,Fruit,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Apple,Davangere,133.26,per kg,Fruit,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Apple,Davangere,150.88,per kg,Fruit,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Apple,Davangere,151.05,per kg,Fruit,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Apple,Davangere,148.47,per kg,Fruit,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Apple,Davangere,116.12,per kg,Fruit,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Apple,Davangere,202.09,per kg,Fruit,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Apple,Davangere,142.78,per kg,Fruit,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Apple,Davangere,140.24,per kg,Fruit,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Apple,Davangere,188.52,per kg,Fruit,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Apple,Davangere,171.19,per kg,Fruit,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Apple,Davangere,205.31,per kg,Fruit,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Apple,Davangere,145.43,per kg,Fruit,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Apple,Davangere,185.51,per kg,Fruit,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Apple,Davangere,145.47,per kg,Fruit,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Apple,Davangere,137.47,per kg,Fruit,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Apple,Davangere,127.52,per kg,Fruit,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Apple,Davangere,130.14,per kg,Fruit,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Apple,Davangere,164.67,per kg,Fruit,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Apple,Davangere,141.98,per kg,Fruit,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Apple,Davangere,83.78,per kg,Fruit,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Apple,Davangere,146.66,per kg,Fruit,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Apple,Davangere,104.16,per kg,Fruit,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Apple,Davangere,136.96,per kg,Fruit,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Apple,Davangere,139.6,per kg,Fruit,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Apple,Davangere,122.25,per kg,Fruit,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Apple,Davangere,90.86,per kg,Fruit,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Apple,Davangere,114.35,per kg,Fruit,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Apple,Davangere,79.75,per kg,Fruit,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Apple,Davangere,71.14,per kg,Fruit,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Apple,Davangere,76.27,per kg,Fruit,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Apple,Davangere,83.04,per kg,Fruit,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Apple,Gulbarga,64.61,per kg,Fruit,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Apple,Gulbarga,86.98,per kg,Fruit,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Apple,Gulbarga,78.8,per kg,Fruit,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Apple,Gulbarga,87.67,per kg,Fruit,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Apple,Gulbarga,91.18,per kg,Fruit,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Apple,Gulbarga,71.26,per kg,Fruit,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Apple,Gulbarga,95.82,per kg,Fruit,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Apple,Gulbarga,82.75,per kg,Fruit,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Apple,Gulbarga,60.99,per kg,Fruit,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Apple,Gulbarga,84.4,per kg,Fruit,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Apple,Gulbarga,81.79,per kg,Fruit,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Apple,Gulbarga,98.29,per kg,Fruit,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Apple,Gulbarga,113.91,per kg,Fruit,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Apple,Gulbarga,79.46,per kg,Fruit,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Apple,Gulbarga,96.04,per kg,Fruit,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Apple,Gulbarga,111.43,per kg,Fruit,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Apple,Gulbarga,112.52,per kg,Fruit,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Apple,Gulbarga,140.54,per kg,Fruit,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Apple,Gulbarga,118.97,per kg,Fruit,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Apple,Gulbarga,113.33,per kg,Fruit,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Apple,Gulbarga,95.39,per kg,Fruit,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Apple,Gulbarga,119.19,per kg,Fruit,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Apple,Gulbarga,134.88,per kg,Fruit,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Apple,Gulbarga,142.24,per kg,Fruit,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Apple,Gulbarga,162.63,per kg,Fruit,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Apple,Gulbarga,142.73,per kg,Fruit,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Apple,Gulbarga,162.14,per kg,Fruit,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Apple,Gulbarga,124.17,per kg,Fruit,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Apple,Gulbarga,136.1,per kg,Fruit,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Apple,Gulbarga,142.23,per kg,Fruit,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Apple,Gulbarga,172.84,per kg,Fruit,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Apple,Gulbarga,173.76,per kg,Fruit,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Apple,Gulbarga,168.82,per kg,Fruit,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Apple,Gulbarga,195.22,per kg,Fruit,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Apple,Gulbarga,153.99,per kg,Fruit,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Apple,Gulbarga,121.37,per kg,Fruit,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Apple,Gulbarga,150.23,per kg,Fruit,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Apple,Gulbarga,147.43,per kg,Fruit,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Apple,Gulbarga,136.24,per kg,Fruit,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Apple,Gulbarga,132.75,per kg,Fruit,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Apple,Gulbarga,168.35,per kg,Fruit,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Apple,Gulbarga,180.62,per kg,Fruit,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Apple,Gulbarga,152.64,per kg,Fruit,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Apple,Gulbarga,94.04,per kg,Fruit,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Apple,Gulbarga,117.28,per kg,Fruit,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Apple,Gulbarga,113.45,per kg,Fruit,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Apple,Gulbarga,121.06,per kg,Fruit,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Apple,Gulbarga,116.67,per kg,Fruit,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Apple,Gulbarga,129.36,per kg,Fruit,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Apple,Gulbarga,102.08,per kg,Fruit,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Apple,Gulbarga,103.21,per kg,Fruit,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Apple,Gulbarga,104.93,per kg,Fruit,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Apple,Gulbarga,107.77,per kg,Fruit,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Apple,Hassan,89.69,per kg,Fruit,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Apple,Hassan,116.13,per kg,Fruit,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Apple,Hassan,89.53,per kg,Fruit,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Apple,Hassan,95.73,per kg,Fruit,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Apple,Hassan,74.22,per kg,Fruit,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Apple,Hassan,90.35,per kg,Fruit,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Apple,Hassan,97.3,per kg,Fruit,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Apple,Hassan,85.98,per kg,Fruit,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Apple,Hassan,80.68,per kg,Fruit,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Apple,Hassan,85.77,per kg,Fruit,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Apple,Hassan,86.27,per kg,Fruit,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Apple,Hassan,100.35,per kg,Fruit,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Apple,Hassan,75.94,per kg,Fruit,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Apple,Hassan,61.14,per kg,Fruit,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Apple,Hassan,104.25,per kg,Fruit,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Apple,Hassan,108.24,per kg,Fruit,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Apple,Hassan,106.1,per kg,Fruit,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Apple,Hassan,116.98,per kg,Fruit,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Apple,Hassan,116.17,per kg,Fruit,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Apple,Hassan,114.64,per kg,Fruit,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Apple,Hassan,138.02,per kg,Fruit,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Apple,Hassan,147.54,per kg,Fruit,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Apple,Hassan,167.55,per kg,Fruit,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Apple,Hassan,170.3,per kg,Fruit,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Apple,Hassan,136.42,per kg,Fruit,Historical Pattern Analysis,2025,1,30,30,5,Winter
